architecture,scheme,G_min,G_max,seed,checkpoint_role,best_epoch,T,K,best_validation_accuracy_percent,run_path,checkpoint_sha256,result_sha256,config_sha256,num_weights,at_min_count,at_max_count,at_min_percent,at_max_percent
conv1,baseline,1e-05,0.0001,0,best_validation,5,4,4,89.68,bundles/table3_bounded_bptt/conv1/baseline/gmax_1em4/seed0,be17d832ee8d9f773ff209967b48dcac09a45d0cd6f68055eee6f3c09c2a2f61,1ddbfbe7c474e9a9063d3563b1477d4a5245d332d4989caaed8450f3c2fb982c,4fa3d1eb9df5cff01bcd3a5c82e1d7727c176cb154b723a47217994f56813646,252032,78075,5739,30.978209116302693,2.2770917978669374
conv1,baseline,1e-05,0.0001,1,best_validation,5,4,4,89.86,bundles/table3_bounded_bptt/conv1/baseline/gmax_1em4/seed1,035b3e2fa1815f137fdecd0130cc3874548f55eac578d9213d1ed138652a28fd,8f3b62d9b6516fd774846b8a7471cb6270fe60c6572b1ce952b94576eac95144,2e92bc09829a55fd63098c335c2f64d81874f32407120e4bdbc3fb5a4020a74b,252032,87706,5968,34.799549263585575,2.367953275774505
conv1,baseline,1e-05,0.0001,2,best_validation,6,4,4,90.0,bundles/table3_bounded_bptt/conv1/baseline/gmax_1em4/seed2,7d9f3159e2a051a360f15f86a65df35240c1fca1059eabc785afa4a8d0cf22a9,323156e0aad851357f88eeedcaa2d3ade067e22dbd75805a09b97baeff556a59,3749a7b17427c1ef54297a35e7fe91faca628945ea18013f1b3627f797bb529a,252032,93165,5878,36.96554405789741,2.3322435246317927
conv1,baseline,1e-05,0.0005,0,best_validation,7,4,4,94.44,bundles/table3_bounded_bptt/conv1/baseline/gmax_5em4/seed0,d68a251ee8132de7f849fe5c5c3d15bd883efed957b8118dc1c3aab9a0b52cd9,02d2af7a00a1cd06f145b31a5ec48a28d4209b70e2d896ea247758944747dc6d,1be15da739fb60387abf31ed7fb8955077d44809cfe14429289e2ed47538a9d9,252032,64854,976,25.732446673438293,0.3872524123920772
conv1,baseline,1e-05,0.0005,1,best_validation,10,4,4,94.64,bundles/table3_bounded_bptt/conv1/baseline/gmax_5em4/seed1,56872b876aecc34045b445fb0c741d54fb8b04858ca38ab233ad2094a508826b,d1dc814d93283241a03058f2251b7b3441d41cbb89db0559f990209ee93cac0f,1095729c73a69a4d75fbeeee465edb1d685be34fbdb59b5b1812061b84d8f081,252032,63404,946,25.157122905027933,0.3753491620111732
conv1,baseline,1e-05,0.0005,2,best_validation,7,4,4,94.66,bundles/table3_bounded_bptt/conv1/baseline/gmax_5em4/seed2,f6753900a49aa9a83addbc6238b755dc71ad7b6aa0f96048f38a9068c9df2b1e,4c72f89b82ef095678cfe007d60154512c87eb55bafab5fc514ffbcc2ea5007f,57548ec040ba6b51bd31c6fa28086cec5bd139dbe52cb357545261f336725eef,252032,64682,1053,25.664201371254443,0.4178040883697308
conv1,baseline,1e-05,0.001,0,best_validation,7,4,4,94.8,bundles/table3_bounded_bptt/conv1/baseline/gmax_1em3/seed0,813775aae888ea22fa46c7efe5ef2eeb49479343ed5d9a19b5c356ca542a038d,5e05312b98d31932d9ac14b0dafc1d617c109dd44a3fde9f36c3818133d0ac2c,85664364e94c34ec32eeb8c98093b136493e4e556ed37b135603f025d733db6a,252032,64765,515,25.697133697308278,0.20433913153885222
conv1,baseline,1e-05,0.001,1,best_validation,10,4,4,95.22,bundles/table3_bounded_bptt/conv1/baseline/gmax_1em3/seed1,b824f878130388952041cee19a14e40e38f945c2a7ba8828056aff4f0d803785,456b72ed5b4bf6c2b87b7b7418032e5ede4667cffbaabbec83eb4de62c98c1b7,6aa2e94cebb63be7f8ad6f63d7ad23eef449fdf3f5c1f6dbd2d878bc03fbec1e,252032,57525,617,22.824482605383444,0.24481018283392586
conv1,baseline,1e-05,0.001,2,best_validation,10,4,4,94.84,bundles/table3_bounded_bptt/conv1/baseline/gmax_1em3/seed2,91bcddda0dcd35b7065e93303feac5b2f99c2db30c6beb62a0e145a61056b4c8,d3adf32f036b9bcf867f312010755b06b5924335a76a98ac91b44868d048c3c1,64cf6dfe0e83019d899ee453bc4c8ea46ff9725ddb2641ca81bd3fae575cd6ab,252032,50576,489,20.067293042153377,0.1940229812087354
conv1,ours,1e-05,0.0001,0,best_validation,7,4,4,92.92,bundles/table3_bounded_bptt/conv1/ours/gmax_1em4/seed0,edfe665a2151165b30f4be70dadd8e432940e933b3941200b6f657ec88debfc3,d026ef7c0e019ad25870c292bc73347c98569073e51d21fd7d6c45708275e418,f934355f4bab31e60eb672b7502951cc37f7a05e4848f9eb9a84f8a2b50109dc,252032,54075,2543,21.45560881157948,1.0089988572879633
